Date,Time,Open,High,Low,Close,Volume
20090821,00:00:00,13.842,14.274,13.535,14.044,10937
20090823,00:00:00,14.158,14.284,13.972,14.201,893
20090824,00:00:00,14.126,14.472,13.913,14.041,12387
20090825,00:00:00,14.089,14.421,13.888,14.261,12516
20090826,00:00:00,14.231,14.483,14.031,14.301,12424
20090827,00:00:00,14.320,14.383,13.924,14.290,12511
20090828,00:00:00,14.320,14.846,14.097,14.728,11222
20090830,00:00:00,14.717,14.884,14.557,14.814,1387
20090831,00:00:00,14.753,14.957,14.363,14.864,13181
20090901,00:00:00,14.858,15.075,14.475,14.939,13153
20090902,00:00:00,14.903,15.471,14.674,15.323,12878
20090903,00:00:00,15.293,16.300,15.107,16.066,12840
20090904,00:00:00,16.009,16.303,15.648,16.147,11352
20090906,00:00:00,16.187,16.285,16.003,16.171,1125
20090907,00:00:00,16.133,16.415,15.975,16.267,10577
20090908,00:00:00,16.262,16.804,16.162,16.579,13188
20090909,00:00:00,16.530,16.671,16.062,16.365,12331
20090910,00:00:00,16.295,16.754,15.900,16.610,12179
20090911,00:00:00,16.589,16.936,16.405,16.688,11235
20090913,00:00:00,16.727,16.831,16.521,16.739,1262
20090914,00:00:00,16.784,16.826,16.152,16.517,12340
20090915,00:00:00,16.515,17.071,16.266,16.981,11971
20090916,00:00:00,16.992,17.457,16.847,17.222,11999
20090917,00:00:00,17.331,17.667,17.015,17.287,12275
20090918,00:00:00,17.280,17.386,16.773,16.985,11053
20090920,00:00:00,16.937,17.000,16.563,16.751,924
20090921,00:00:00,16.758,16.964,16.334,16.811,11661
20090922,00:00:00,16.823,17.300,16.638,17.164,12137
20090923,00:00:00,17.120,17.253,16.509,16.724,12598
20090924,00:00:00,16.759,16.972,15.883,15.978,12388
20090925,00:00:00,16.041,16.394,15.804,15.874,11322
20090927,00:00:00,15.987,16.160,15.845,16.044,1075
20090928,00:00:00,16.011,16.282,15.571,16.183,12462
20090929,00:00:00,16.165,16.281,15.831,16.154,11969
20090930,00:00:00,16.105,16.785,15.929,16.590,12225
20091001,00:00:00,16.713,16.785,16.102,16.259,12395
20091002,00:00:00,16.257,16.437,15.760,16.118,11176
20091004,00:00:00,16.124,16.196,15.840,16.141,1311
20091005,00:00:00,16.090,16.649,15.948,16.562,12416
20091006,00:00:00,16.559,17.392,16.410,17.120,12844
20091007,00:00:00,17.214,17.718,17.110,17.630,12786
20091008,00:00:00,17.633,17.943,17.318,17.583,12690
20091009,00:00:00,17.558,17.786,17.318,17.573,11346
20091011,00:00:00,17.657,17.925,17.504,17.777,1266
20091012,00:00:00,17.808,17.909,17.509,17.704,12228
20091013,00:00:00,17.728,18.013,17.367,17.778,12703
20091014,00:00:00,17.774,18.098,17.565,17.842,12646
20091015,00:00:00,17.878,17.986,17.100,17.336,12857
20091016,00:00:00,17.402,17.535,17.036,17.355,11440
20091018,00:00:00,17.358,17.562,17.242,17.408,1168
20091019,00:00:00,17.384,17.884,17.105,17.704,12484
20091020,00:00:00,17.691,17.955,17.259,17.457,13166
20091021,00:00:00,17.429,17.812,17.128,17.626,13129
20091022,00:00:00,17.582,17.768,17.224,17.665,13305
20091023,00:00:00,17.650,17.936,17.318,17.556,11660
20091025,00:00:00,17.647,17.720,17.440,17.554,1248
20091026,00:00:00,17.526,17.772,16.843,16.950,13032
20091027,00:00:00,17.002,17.258,16.352,16.730,13197
20091028,00:00:00,16.654,16.808,15.913,16.090,13041
20091029,00:00:00,16.148,16.713,15.974,16.652,12971
20091030,00:00:00,16.610,16.749,15.977,16.209,11674
20091101,00:00:00,16.243,16.351,16.083,16.303,908
20091102,00:00:00,16.286,16.696,16.136,16.552,13218
20091103,00:00:00,16.518,17.318,16.085,17.139,13512
20091104,00:00:00,17.124,17.605,16.880,17.348,13178
20091105,00:00:00,17.381,17.513,17.046,17.351,13200
20091106,00:00:00,17.322,17.582,17.134,17.316,11735
20091108,00:00:00,17.248,17.500,17.200,17.322,796
20091109,00:00:00,17.360,17.789,17.208,17.556,13319
20091110,00:00:00,17.542,17.669,16.992,17.248,13199
20091111,00:00:00,17.273,17.719,17.133,17.510,13098
20091112,00:00:00,17.516,17.754,17.005,17.174,13132
20091113,00:00:00,17.190,17.452,16.888,17.402,12193
20091115,00:00:00,17.383,17.650,17.230,17.629,953
20091116,00:00:00,17.579,18.448,17.418,18.179,13311
20091117,00:00:00,18.269,18.523,17.908,18.416,13276
20091118,00:00:00,18.416,18.822,18.113,18.529,13010
20091119,00:00:00,18.494,18.618,17.974,18.466,13207
20091120,00:00:00,18.424,18.595,17.874,18.474,12263
20091122,00:00:00,18.437,18.657,18.310,18.601,895
20091123,00:00:00,18.574,18.904,18.361,18.506,13500
20091124,00:00:00,18.498,18.694,18.169,18.513,13352
20091125,00:00:00,18.495,18.899,18.350,18.714,13086
20091126,00:00:00,18.793,18.914,18.246,18.432,11355
20091127,00:00:00,18.438,18.528,17.538,18.216,11312
20091129,00:00:00,18.238,18.443,18.008,18.237,852
20091130,00:00:00,18.195,18.545,17.925,18.506,13353
20091201,00:00:00,18.474,19.231,18.205,19.087,13304
20091202,00:00:00,19.085,19.396,18.915,19.354,13647
20091203,00:00:00,19.342,19.459,18.532,18.677,13772
20091204,00:00:00,18.669,18.913,18.144,18.493,12657
20091206,00:00:00,18.330,18.537,18.169,18.361,850
20091207,00:00:00,18.402,18.464,17.676,18.207,13606
20091208,00:00:00,18.156,18.373,17.370,17.475,13662
20091209,00:00:00,17.548,17.886,16.959,17.348,13635
20091210,00:00:00,17.374,17.528,16.961,17.232,13473
20091211,00:00:00,17.316,17.620,16.750,17.126,12499
20091213,00:00:00,17.083,17.187,16.893,17.046,963
20091214,00:00:00,17.103,17.442,16.928,17.348,13454
20091215,00:00:00,17.332,17.471,16.932,17.355,12816
20091216,00:00:00,17.320,17.795,17.138,17.700,13375
20091217,00:00:00,17.699,17.786,16.892,17.194,13382
20091218,00:00:00,17.173,17.380,16.926,17.188,12351
20091220,00:00:00,17.248,17.356,17.090,17.306,860
20091221,00:00:00,17.282,17.494,16.749,16.907,13095
20091222,00:00:00,16.984,17.135,16.583,16.868,12977
20091223,00:00:00,16.784,17.237,16.695,17.069,12382
20091224,00:00:00,16.987,17.474,16.932,17.374,10129
20091225,00:00:00,17.355,17.566,17.246,17.430,3119
20091227,00:00:00,17.488,17.551,17.286,17.369,749
20091228,00:00:00,17.429,17.656,17.245,17.342,12601
20091229,00:00:00,17.420,17.543,16.843,16.987,13017
20091230,00:00:00,16.972,17.097,16.562,16.719,13084
20091231,00:00:00,16.676,17.113,16.620,16.750,11613
20100101,00:00:00,16.786,16.914,16.642,16.804,3096
20100103,00:00:00,16.813,17.010,16.691,16.778,1050
20100104,00:00:00,16.797,17.662,16.658,17.469,13509
20100105,00:00:00,17.573,17.853,17.328,17.684,13099
20100106,00:00:00,17.699,18.245,17.549,18.088,13345
20100107,00:00:00,18.091,18.340,17.849,18.072,13587
20100108,00:00:00,18.069,18.498,17.863,18.397,12079
20100110,00:00:00,18.340,18.721,18.246,18.519,893
20100111,00:00:00,18.607,18.873,18.328,18.427,13367
20100112,00:00:00,18.480,18.796,17.994,18.225,12784
20100113,00:00:00,18.232,18.686,18.025,18.535,12915
20100114,00:00:00,18.564,18.757,18.226,18.497,12858
20100115,00:00:00,18.573,18.655,18.190,18.322,11806
20100117,00:00:00,18.348,18.447,18.156,18.413,863
20100118,00:00:00,18.352,18.708,18.182,18.631,11456
20100119,00:00:00,18.624,18.888,18.283,18.696,13070
20100120,00:00:00,18.630,18.831,17.633,17.919,13612
20100121,00:00:00,17.887,18.060,17.183,17.357,13803
20100122,00:00:00,17.363,17.539,16.729,16.974,12951
20100124,00:00:00,16.858,17.078,16.748,16.942,766
20100125,00:00:00,16.989,17.292,16.814,17.121,13430
20100126,00:00:00,17.127,17.271,16.142,16.832,13662
20100127,00:00:00,16.807,16.945,16.253,16.537,13515
20100128,00:00:00,16.564,16.750,15.883,16.183,13789
20100129,00:00:00,16.169,16.325,15.844,16.107,12735
20100131,00:00:00,16.148,16.296,15.948,16.184,873
20100201,00:00:00,16.190,16.724,15.932,16.589,13747
20100202,00:00:00,16.561,16.836,16.369,16.605,13858
20100203,00:00:00,16.661,16.935,16.085,16.304,13424
20100204,00:00:00,16.346,16.408,15.021,15.298,13710
20100205,00:00:00,15.278,15.381,14.502,15.099,12993
20100207,00:00:00,15.010,15.195,14.852,15.036,1042
20100208,00:00:00,15.057,15.282,14.786,14.994,13765
20100209,00:00:00,14.990,15.562,14.844,15.459,12907
20100210,00:00:00,15.411,15.632,14.922,15.250,13150
20100211,00:00:00,15.249,15.747,15.042,15.636,13709
20100212,00:00:00,15.642,15.716,15.028,15.378,12190
20100214,00:00:00,15.450,15.568,15.287,15.539,524
20100215,00:00:00,15.545,15.652,15.269,15.500,10343
20100216,00:00:00,15.468,16.203,15.310,16.072,12894
20100217,00:00:00,16.072,16.313,15.641,15.819,12857
20100218,00:00:00,15.800,16.260,15.507,15.721,13309
20100219,00:00:00,15.726,16.526,15.571,16.280,12730
20100221,00:00:00,16.254,16.399,16.117,16.394,636
20100222,00:00:00,16.315,16.582,15.962,16.219,12673
20100223,00:00:00,16.184,16.431,15.601,15.835,12991
20100224,00:00:00,15.826,16.016,15.480,16.001,12902
20100225,00:00:00,15.969,16.131,15.476,16.005,12870
20100226,00:00:00,15.984,16.509,15.856,16.411,12143
20100228,00:00:00,16.424,16.625,16.282,16.604,682
20100301,00:00:00,16.596,16.768,16.207,16.440,12552
20100302,00:00:00,16.402,17.061,16.156,16.832,12597
20100303,00:00:00,16.894,17.371,16.673,17.150,12656
20100304,00:00:00,17.121,17.369,16.850,17.110,12827
20100305,00:00:00,17.078,17.485,16.921,17.316,11678
20100307,00:00:00,17.313,17.420,17.168,17.260,622
20100308,00:00:00,17.297,17.511,16.967,17.192,12915
20100309,00:00:00,17.187,17.399,16.715,17.271,13147
20100310,00:00:00,17.224,17.620,16.768,17.007,12960
20100311,00:00:00,17.021,17.233,16.637,17.161,13239
20100312,00:00:00,17.180,17.336,16.794,17.042,12148
20100314,00:00:00,16.878,17.166,16.833,17.117,1023
20100315,00:00:00,17.113,17.219,16.766,17.111,12751
20100316,00:00:00,17.027,17.484,16.962,17.424,12615
20100317,00:00:00,17.422,17.601,17.170,17.475,12400
20100318,00:00:00,17.468,17.569,17.125,17.339,12044
20100319,00:00:00,17.322,17.424,16.771,16.881,11245
20100321,00:00:00,16.918,17.023,16.731,16.909,968
20100322,00:00:00,16.798,17.031,16.440,16.938,12199
20100323,00:00:00,16.926,17.105,16.571,16.894,11924
20100324,00:00:00,16.917,16.997,16.320,16.494,12585
20100325,00:00:00,16.519,16.848,16.341,16.557,12014
20100326,00:00:00,16.516,16.967,16.403,16.846,11446
20100328,00:00:00,16.908,17.042,16.720,16.972,1226
20100329,00:00:00,16.942,17.423,16.752,17.338,12522
20100330,00:00:00,17.323,17.468,17.038,17.148,13221
20100331,00:00:00,17.259,17.599,17.092,17.391,13357
20100401,00:00:00,17.469,17.990,17.292,17.898,12981
20100402,00:00:00,17.860,17.961,17.439,17.864,6035
20100404,00:00:00,17.854,17.926,17.569,17.853,1037
20100405,00:00:00,17.862,18.145,17.680,17.992,12733
20100406,00:00:00,18.014,18.100,17.687,17.851,13117
20100407,00:00:00,17.894,18.242,17.731,18.048,13018
20100408,00:00:00,18.100,18.195,17.719,17.969,13117
20100409,00:00:00,18.053,18.448,17.873,18.280,11935
